city,city_ascii,lat,lng,admin_name,population
Kota,Kota,25.18,75.83,Rājasthān,1001694.0
Bareilly,Bareilly,28.3667,79.4306,Uttar Pradesh,1000000.0
Coimbatore,Coimbatore,11.0008,76.9633,Tamil Nādu,959823.0
Solāpur,Solapur,17.68,75.92,Mahārāshtra,951558.0
Hubli,Hubli,15.3502,75.1376,Karnātaka,943788.0
Mysore,Mysore,12.3086,76.6531,Karnātaka,920550.0
Trichinopoly,Trichinopoly,10.7903,78.7047,Tamil Nādu,916857.0
Morādābād,Moradabad,28.8319,78.7764,Uttar Pradesh,889810.0
Tiruppūr,Tiruppur,11.1085,77.3411,Tamil Nādu,877778.0
Gurgaon,Gurgaon,28.456,77.029,Haryāna,876824.0
Jalandhar,Jalandhar,31.326,75.5762,Punjab,873725.0
Bhubaneshwar,Bhubaneshwar,20.27,85.84,Odisha,837737.0
Narela,Narela,28.85,77.1,Delhi,809913.0
Bhayandar,Bhayandar,19.29,72.85,Mahārāshtra,809378.0
Karīmnagar,Karimnagar,18.4386,79.1288,Andhra Pradesh,797447.0
Patiāla,Patiala,30.34,76.38,Punjab,763280.0
Shīshgarh,Shishgarh,28.72,79.32,Uttar Pradesh,753815.0
Thiruvananthapuram,Thiruvananthapuram,8.5241,76.9366,Kerala,743691.0
Durgāpur,Durgapur,23.55,87.32,West Bengal,726000.0
Bhiwandi,Bhiwandi,19.2967,73.0631,Mahārāshtra,709665.0
Bhīlwāra,Bhilwara,25.35,74.63,Rājasthān,709483.0
Sahāranpur,Saharanpur,29.9639,77.5458,Uttar Pradesh,705478.0
Warangal,Warangal,17.9689,79.5941,Andhra Pradesh,704570.0
Shiliguri,Shiliguri,26.71,88.43,West Bengal,701489.0
Salem,Salem,11.65,78.15,Tamil Nādu,693236.0
Kochi,Kochi,9.9312,76.2673,Kerala,677381.0
Gorakhpur,Gorakhpur,26.7637,83.4039,Uttar Pradesh,673446.0
Guntūr,Guntur,16.3008,80.4428,Andhra Pradesh,670073.0
Karaikandi,Karaikandi,24.8309,92.6143,Assam,659260.0
Haldwāni,Haldwani,29.22,79.52,Uttarākhand,656000.0
Dhūlia,Dhulia,20.8997,74.7697,Mahārāshtra,655603.0
Bhāvnagar,Bhavnagar,21.76,72.15,Gujarāt,643382.0
Noida,Noida,28.57,77.32,Uttar Pradesh,637272.0
Bhāngar,Bhangar,22.58,88.42,West Bengal,634107.0
Bhilai,Bhilai,21.21,81.38,Chhattīsgarh,624700.0
Mangalore,Mangalore,12.8717,74.8425,Karnātaka,623841.0
Bihtā,Bihta,25.5619,84.87,Bihār,617427.0
Hasanpur,Hasanpur,28.72,78.28,Uttar Pradesh,611533.0
Cuttack,Cuttack,20.5236,85.7881,Odisha,606007.0
Salīmpur,Salimpur,26.3,83.9167,Uttar Pradesh,604483.0
Raurkela,Raurkela,22.2492,84.8828,Odisha,600000.0
Tumkūr,Tumkur,13.34,77.1,Karnātaka,599078.0
Dehra Dūn,Dehra Dun,30.345,78.029,Uttarākhand,578420.0
Kottayam,Kottayam,9.5916,76.5222,Kerala,571856.0
Āsansol,Asansol,23.68,86.99,West Bengal,563917.0
Bokaro Steel City,Bokaro Steel City,23.67,86.15,Jhārkhand,563417.0
Kolhāpur,Kolhapur,16.6917,74.2333,Mahārāshtra,561489.0
Nava Raipur,Nava Raipur,21.161,81.787,Chhattīsgarh,560000.0
Ajmer,Ajmer,26.4499,74.6399,Rājasthān,551101.0
Nānded,Nanded,19.15,77.3,Mahārāshtra,550439.0
Amrāvati,Amravati,20.9258,77.7647,Mahārāshtra,549370.0
Nellore,Nellore,14.4431,79.9861,Andhra Pradesh,547621.0
Dispur,Dispur,26.1397,91.7925,Assam,534872.0
Gulbarga,Gulbarga,17.329,76.825,Karnātaka,533587.0
Bīkaner,Bikaner,28.0167,73.3119,Rājasthān,529007.0
Agartala,Agartala,23.8314,91.2869,Tripura,522613.0
Chānda,Chanda,19.95,79.297,Mahārāshtra,518000.0
Loni,Loni,28.75,77.28,Uttar Pradesh,516082.0
Ujjain,Ujjain,23.17,75.79,Madhya Pradesh,515215.0
Jhānsi,Jhansi,25.4486,78.5696,Uttar Pradesh,507000.0
Ulhāsnagar,Ulhasnagar,19.22,73.15,Mahārāshtra,506098.0
Jammu,Jammu,32.73,74.87,Jammu and Kashmīr,502197.0
Tuticorin,Tuticorin,8.8056,78.145,Tamil Nādu,500000.0
Purnea,Purnea,25.778,87.476,Bihār,496830.0
Belgaum,Belgaum,15.85,74.5,Karnātaka,488157.0
Vellore,Vellore,12.9165,79.1325,Tamil Nādu,484690.0
Mālegaon,Malegaon,20.55,74.55,Mahārāshtra,481228.0
Jāmnagar,Jamnagar,22.47,70.07,Gujarāt,479920.0
Bārdoli,Bardoli,21.12,73.12,Gujarāt,475963.0
Gaya,Gaya,24.75,85.01,Bihār,474093.0
Ambattūr,Ambattur,13.1143,80.1548,Tamil Nādu,466205.0
Jalgaon,Jalgaon,21.004,75.568,Mahārāshtra,460468.0
Chhatarpur,Chhatarpur,24.55,79.3527,Madhya Pradesh,459943.0
Kurnool,Kurnool,15.83,78.05,Andhra Pradesh,457633.0
Udaipur,Udaipur,24.58,73.68,Rājasthān,451100.0
Wāpi,Wapi,20.372,72.917,,450000.0
Mathura,Mathura,27.4925,77.6736,Uttar Pradesh,441894.0
Sāngli,Sangli,16.853,74.583,Mahārāshtra,436639.0
Davangere,Davangere,14.4666,75.9242,Karnātaka,435125.0
Calicut,Calicut,11.2588,75.7804,Kerala,431560.0
Mothīhāri,Mothihari,26.65,84.9167,Bihār,426158.0
Akola,Akola,20.7,77.0,Mahārāshtra,425817.0
Bettiah,Bettiah,26.8014,84.5028,Bihār,414453.0
Shorāpur,Shorapur,16.52,76.76,Karnātaka,412291.0
Tinnevelly,Tinnevelly,8.7136,77.7567,Tamil Nādu,411298.0
Bellary,Bellary,15.1,76.9167,Karnātaka,410445.0
Bhāgalpur,Bhagalpur,25.25,87.0,Bihār,410210.0
Manampizha,Manampizha,9.2972,76.65,Kerala,409271.0
Delhi Cantonment,Delhi Cantonment,28.6,77.1333,Delhi,405633.0
Salt Lake City,Salt Lake City,22.61,88.4,West Bengal,403316.0
Etāwa,Etawa,24.18,78.2,Madhya Pradesh,402678.0
Sonīpat,Sonipat,28.99,77.022,Haryāna,402000.0
Quilon,Quilon,8.8932,76.6141,Kerala,397419.0
Mulangodi,Mulangodi,9.0,76.6167,Kerala,397419.0
Munro Turuttu,Munro Turuttu,9.0,76.6167,Kerala,397419.0
Karūr,Karur,10.9601,78.0766,Tamil Nādu,394719.0
Jālna,Jalna,19.841,75.8864,Mahārāshtra,393000.0
Bairia,Bairia,25.7583,84.1489,Uttar Pradesh,386745.0
Bhātpāra,Bhatpara,22.87,88.41,West Bengal,386019.0
Sirūr,Sirur,18.83,74.38,Mahārāshtra,385414.0
Kākināda,Kakinada,16.9661,82.255,Andhra Pradesh,384182.0
Pānihāti,Panihati,22.69,88.37,West Bengal,377347.0
Rohtak,Rohtak,28.8909,76.5796,Haryāna,374292.0
Māler Kotla,Maler Kotla,30.5167,75.8833,Punjab,374000.0
Kolga,Kolga,22.35,82.68,Chhattīsgarh,365253.0
Korba,Korba,22.3458,82.6963,Chhattīsgarh,365253.0
Sīkar,Sikar,27.62,75.15,Rājasthān,359293.0
Sasarām,Sasaram,24.95,84.03,Bihār,358283.0
Karnāl,Karnal,29.686,76.989,Haryāna,357334.0
Brahmapur,Brahmapur,19.315,84.7941,Odisha,355823.0
Ahmadnagar,Ahmadnagar,19.08,74.73,Mahārāshtra,350859.0
Shāhjānpur,Shahjanpur,27.88,79.91,Uttar Pradesh,346103.0
Āvadi,Avadi,13.1147,80.1098,Tamil Nādu,345996.0
Khānāpur,Khanapur,15.6394,74.5083,Karnātaka,345839.0
Cuddapah,Cuddapah,14.47,78.82,Andhra Pradesh,344893.0
Alamādi,Alamadi,13.1097,80.0972,Tamil Nādu,344701.0
Rājahmundry,Rajahmundry,16.98,81.78,Andhra Pradesh,341831.0
Alwar,Alwar,27.5498,76.6355,Rājasthān,341422.0
Sambalpur,Sambalpur,21.47,83.97,Odisha,335761.0
Muzaffarpur,Muzaffarpur,26.1225,85.3906,Bihār,333200.0
Kāmārhāti,Kamarhati,22.6686,88.3704,West Bengal,330211.0
Campīernagar,Campiernagar,27.029,83.2668,Uttar Pradesh,329104.0
Bijāpur,Bijapur,16.83,75.71,Karnātaka,327427.0
Ratnāgiri,Ratnagiri,16.9944,73.3,Mahārāshtra,327120.0
Jagdalpur,Jagdalpur,19.18,81.92,Chhattīsgarh,325463.0
Rāmpur,Rampur,28.8,79.0,Uttar Pradesh,325248.0
Shimoga,Shimoga,13.9333,75.5667,Karnātaka,322650.0
Kāshīpur,Kashipur,29.22,78.95,Uttarākhand,321623.0
Jūnāgadh,Junagadh,21.5222,70.4579,Gujarāt,320250.0
Hāpur,Hapur,28.7309,77.7757,Uttar Pradesh,317004.0
Pattikād,Pattikad,10.5276,76.2144,Kerala,315957.0
Trichūr,Trichur,10.5276,76.2144,Kerala,315596.0
Barddhamān,Barddhaman,23.2333,87.8667,West Bengal,314265.0
Panvel,Panvel,18.9944,73.1139,Mahārāshtra,311434.0
Nizāmābād,Nizamabad,18.672,78.094,Andhra Pradesh,311152.0
Parbhani,Parbhani,19.27,76.78,Mahārāshtra,307170.0
Hisar,Hisar,29.15,75.7,Haryāna,307024.0
Fatehpur,Fatehpur,27.98,74.95,Rājasthān,305638.0
Birania,Birania,27.98,74.95,Madhya Pradesh,305638.0
Kāraikkudi,Karaikkudi,10.0735,78.7732,Tamil Nādu,303291.0
Lachhmangarh Sīkar,Lachhmangarh Sikar,27.8225,75.0253,Rājasthān,302956.0
Oulgaret,Oulgaret,11.9265,79.7789,Puducherry,300104.0
Ingrāj Bāzār,Ingraj Bazar,25.0119,88.1433,West Bengal,300088.0
Bada Barabīl,Bada Barabil,22.12,85.4,Odisha,300000.0
Bihār,Bihar,25.197,85.518,Bihār,297268.0
Darbhanga,Darbhanga,26.17,85.9,Bihār,296039.0
Idar,Idar,23.839,73.002,Gujarāt,295971.0
Sikandarābād,Sikandarabad,28.4512,77.6955,Uttar Pradesh,294858.0
Āīzawl,Aizawl,23.7272,92.7178,Mizoram,293416.0
Bāli,Bali,22.65,88.34,West Bengal,293373.0
Surajgarha,Surajgarha,25.25,86.23,Bihār,290998.0
Nāgercoil,Nagercoil,8.175,77.4306,Tamil Nādu,289916.0
Dewās,Dewas,22.96,76.06,Madhya Pradesh,289550.0
Sonpur,Sonpur,25.7,85.18,Bihār,288102.0
Hugli,Hugli,22.9,88.39,West Bengal,288090.0
Chunchura,Chunchura,22.9,88.39,West Bengal,288090.0
Ichalkaranji,Ichalkaranji,16.7,74.47,Mahārāshtra,287570.0
Tirupati,Tirupati,13.65,79.42,Andhra Pradesh,287482.0
Bhatinda,Bhatinda,30.23,74.9519,Punjab,285813.0
Satna,Satna,24.6005,80.8322,Madhya Pradesh,283004.0
Mau,Mau,25.9417,83.5611,Uttar Pradesh,278745.0
Bārāsat,Barasat,22.72,88.48,West Bengal,278435.0
Farrukhābād,Farrukhabad,27.39,79.581,Uttar Pradesh,275754.0
Saugor,Saugor,23.83,78.71,Madhya Pradesh,274556.0
Khorabar,Khorabar,26.741,83.888,Uttar Pradesh,274403.0
Ratlām,Ratlam,23.334,75.037,Madhya Pradesh,273892.0
Handwāra,Handwara,34.3997,74.2817,Jammu and Kashmīr,269311.0
Drug,Drug,21.19,81.28,Chhattīsgarh,268806.0
Anantapur,Anantapur,14.68,77.599,Andhra Pradesh,267161.0
Imphāl,Imphal,24.8074,93.9384,Manipur,264986.0
Arrah,Arrah,25.5514,84.6603,Bihār,261430.0
Sivakāsi,Sivakasi,9.4533,77.8024,Tamil Nādu,260047.0
Etāwah,Etawah,26.77,79.03,Uttar Pradesh,256838.0
Malkājgiri,Malkajgiri,17.4519,78.5362,Andhra Pradesh,255899.0
Tuni,Tuni,17.35,82.55,Andhra Pradesh,254425.0
Amarnāth,Amarnath,19.209,73.186,Mahārāshtra,253475.0
Rāpar,Rapar,23.57,70.63,Gujarāt,253137.0
Samāstipur,Samastipur,25.8629,85.7811,Bihār,253136.0
Gokāk,Gokak,16.1667,74.8333,Karnātaka,253000.0
Bharatpur,Bharatpur,27.22,77.48,Rājasthān,252342.0
Begusarai,Begusarai,25.42,86.13,Bihār,252008.0
Nedumana,Nedumana,8.9139,76.6889,Kerala,251384.0
New Delhi,New Delhi,28.6139,77.2089,Delhi,249998.0
Tiruvottiyūr,Tiruvottiyur,13.16,80.3,Tamil Nādu,249446.0
Rāmnagar,Ramnagar,27.17,84.32,Bihār,249102.0
Gāndhīdhām,Gandhidham,23.08,70.13,Gujarāt,248705.0
Salūmbar,Salumbar,24.08,74.02,Rājasthān,248337.0
Puducherry,Puducherry,11.9167,79.8167,Puducherry,244377.0
Kanpur,Kanpur,26.4499,80.3319,Uttar Pradesh,243800.0
Rāmgundam,Ramgundam,18.7639,79.475,Andhra Pradesh,242979.0
Pandharpur,Pandharpur,17.6778,75.3278,Mahārāshtra,242515.0
Masaurhi Buzurg,Masaurhi Buzurg,25.35,85.02,Bihār,241216.0
Alleppey,Alleppey,9.49,76.33,Kerala,240991.0
Katihār,Katihar,25.53,87.58,Bihār,240565.0
Ahor,Ahor,25.367,72.783,Rājasthān,239642.0
Gangānagar,Ganganagar,29.92,73.88,Rājasthān,237780.0
Tinkhang,Tinkhang,27.23,95.17,Assam,236571.0
Rewa,Rewa,24.5381,81.2953,Madhya Pradesh,236519.0
Uluberiya,Uluberiya,22.47,88.11,West Bengal,235345.0
Bulandshahr,Bulandshahr,28.4069,77.8497,Uttar Pradesh,235310.0
Rāichūr,Raichur,16.2,77.37,Karnātaka,234073.0
Chauhanpatti,Chauhanpatti,25.15,82.6,Uttar Pradesh,233691.0
Cannanore,Cannanore,11.8745,75.3704,Kerala,232486.0
Machilīpatnam,Machilipatnam,16.17,81.13,Andhra Pradesh,232000.0
Pāli,Pali,25.77,73.33,Rājasthān,229956.0
Songadh,Songadh,21.167,73.564,Gujarāt,229782.0
Gadda Madiral,Gadda Madiral,18.7519,79.5133,Andhra Pradesh,229644.0
Hosūr,Hosur,12.7409,77.8253,Tamil Nādu,229528.0
Haridwār,Haridwar,29.945,78.163,Uttarākhand,228832.0
Vizianagaram,Vizianagaram,18.1159,83.406,Andhra Pradesh,228720.0
Pāthardi,Pathardi,19.17,75.18,Mahārāshtra,228279.0
Mel Pālaiyam,Mel Palaiyam,8.7,77.7069,Tamil Nādu,227895.0
Khatīma,Khatima,28.9198,79.9699,Uttarākhand,227226.0
Petlād,Petlad,22.47,72.8,Gujarāt,227031.0
Pudukkottai,Pudukkottai,10.3833,78.8001,Tamil Nādu,225500.0
Nadiād,Nadiad,22.69,72.86,Gujarāt,225132.0
Tanjore,Tanjore,10.787,79.1378,Tamil Nādu,222943.0
Kichha,Kichha,28.92,79.5,Uttarākhand,221965.0
Katri,Katri,23.48,80.4,Madhya Pradesh,221875.0
Dagarua,Dagarua,25.8,87.64,Bihār,221229.0
Sambhal,Sambhal,28.58,78.55,Uttar Pradesh,220813.0
Singrauliya,Singrauliya,24.202,82.666,Madhya Pradesh,220257.0
Naihāti,Naihati,22.89,88.42,West Bengal,217900.0
Jaynagar,Jaynagar,26.5925,86.1372,Bihār,217820.0
Yamunānagar,Yamunanagar,30.133,77.288,Haryāna,216628.0
Pallāvaram,Pallavaram,12.9675,80.1491,Tamil Nādu,215417.0
Khargone,Khargone,21.82,75.6187,Madhya Pradesh,215000.0
Secunderābād,Secunderabad,17.4399,78.4983,Andhra Pradesh,213698.0
Monghyr,Monghyr,25.381,86.465,Bihār,213101.0
Chāpra,Chapra,25.7848,84.7274,Bihār,212955.0
Bhadrāvati,Bhadravati,13.8485,75.705,Karnātaka,212073.0
Panchkula,Panchkula,30.74,76.8,Haryāna,211355.0
Burhānpur,Burhanpur,21.3114,76.2289,Madhya Pradesh,210891.0
Kāpra,Kapra,17.4859,78.5651,Andhra Pradesh,209882.0
Nowgong,Nowgong,26.3504,92.6796,Assam,209000.0
Ambāla,Ambala,30.38,76.78,Haryāna,207934.0
Kharagpur,Kharagpur,22.3302,87.3237,West Bengal,207604.0
Robertsonpet,Robertsonpet,12.9563,78.2754,Karnātaka,207350.0
Dindigul,Dindigul,10.35,77.95,Tamil Nādu,207327.0
Rānīwāra Kalān,Raniwara Kalan,24.75,72.2167,Rājasthān,206831.0
Shimla,Shimla,31.1033,77.1722,Himāchal Pradesh,206575.0
Hospet,Hospet,15.2689,76.3909,Karnātaka,206167.0
Māldah,Maldah,25.0044,88.1458,West Bengal,205521.0
Ongole,Ongole,15.506,80.049,Andhra Pradesh,204746.0
Ellore,Ellore,16.7117,81.1031,Andhra Pradesh,203780.0
Deoghar,Deoghar,24.48,86.7,Jhārkhand,203116.0
Chhindwāra,Chhindwara,22.057,78.9396,Madhya Pradesh,202688.0
Mokameh,Mokameh,25.3898,85.9191,Bihār,202411.0
Puri,Puri,19.8106,85.8314,Odisha,201026.0
Haldia,Haldia,22.0667,88.0698,West Bengal,200827.0
Khandwa,Khandwa,21.82,76.35,Madhya Pradesh,200738.0
Nandyāl,Nandyal,15.48,78.48,Andhra Pradesh,200516.0
Morena,Morena,26.5,78.0,Madhya Pradesh,200483.0
Karjat,Karjat,18.55,75.0,Mahārāshtra,200000.0
Kasba Patāspur,Kasba Pataspur,22.0216,87.5423,West Bengal,200000.0
Drabar,Drabar,33.43,75.09,Jammu and Kashmīr,199429.0
Amroha,Amroha,28.9044,78.4675,Uttar Pradesh,198471.0
Rānī,Rani,9.3667,76.7667,Kerala,198194.0
Chakradharpur,Chakradharpur,22.7,85.63,Jhārkhand,197953.0
Bhiwāni,Bhiwani,28.78,76.13,Haryāna,197662.0
Bhind,Bhind,26.5647,78.7864,Madhya Pradesh,197585.0
Khammam,Khammam,17.2473,80.1514,Andhra Pradesh,196283.0
Madhyamgram,Madhyamgram,22.7,88.45,West Bengal,196127.0
Ghāndīnagar,Ghandinagar,23.2231,72.65,Gujarāt,195891.0
Baharampur,Baharampur,24.1,88.25,West Bengal,195223.0
Morbi,Morbi,22.82,70.83,Gujarāt,194947.0
Fatehpur,Fatehpur,25.93,80.8,Uttar Pradesh,193193.0
Rāe Bareli,Rae Bareli,26.2236,81.2403,Uttar Pradesh,191316.0
Orai,Orai,25.98,79.47,Uttar Pradesh,190575.0
Mahbūbnagar,Mahbubnagar,16.7488,78.0035,Andhra Pradesh,190400.0
Murtazābād,Murtazabad,28.7111,77.2688,Uttar Pradesh,189117.0
Bhuj,Bhuj,23.25,69.67,Gujarāt,188236.0
Ratanpur,Ratanpur,23.0851,72.5716,Gujarāt,187573.0
Bhusāval,Bhusaval,21.05,75.77,Mahārāshtra,187421.0
Bahraigh,Bahraigh,27.575,81.594,Uttar Pradesh,186223.0
Umreth,Umreth,22.6986,73.1156,Gujarāt,185320.0
Ittikara,Ittikara,8.8633,76.6972,Kerala,185008.0
Mahesāna,Mahesana,23.6,72.4,Gujarāt,184991.0
Alasandigutta,Alasandigutta,15.6244,77.2731,Andhra Pradesh,184625.0
Rāiganj,Raiganj,25.62,88.12,West Bengal,183612.0
Batāla,Batala,31.8186,75.2028,Punjab,183314.0
Pālanpur,Palanpur,24.1722,72.4333,Gujarāt,182592.0
Sirsa,Sirsa,29.5333,75.0167,Haryāna,182534.0
Dinapore,Dinapore,25.6225,85.0417,Bihār,182241.0
Tambaram,Tambaram,12.831,80.0459,Tamil Nādu,182071.0
Shrīrāmpur,Shrirampur,22.75,88.34,West Bengal,181842.0
Himatnagar,Himatnagar,23.6,72.95,Gujarāt,181137.0
Guna,Guna,24.65,77.32,Madhya Pradesh,180935.0
Nawāda,Nawada,24.88,85.53,Bihār,180740.0
Jaunpur,Jaunpur,25.73,82.68,Uttar Pradesh,180362.0
Mahād,Mahad,18.083,73.417,Mahārāshtra,180191.0
Madanapalle,Madanapalle,13.55,78.5,Andhra Pradesh,180180.0
Wadlakonda,Wadlakonda,17.7736,79.575,Andhra Pradesh,180000.0
Bhachāu,Bhachau,23.296,70.343,Gujarāt,180000.0
Shivpuri,Shivpuri,25.43,77.65,Madhya Pradesh,179977.0
Sātāra,Satara,17.688,74.006,Mahārāshtra,179147.0
Vāda,Vada,19.39,73.08,Mahārāshtra,178370.0
Phillaur,Phillaur,31.03,75.78,Punjab,178198.0
Unnāo,Unnao,26.55,80.49,Uttar Pradesh,177658.0
Sītāpur,Sitapur,27.57,80.66,Uttar Pradesh,177351.0
Kalamboli,Kalamboli,19.2333,73.1333,Mahārāshtra,177154.0
Sāila,Saila,25.333,72.367,Rājasthān,176682.0
Wārāseonī,Waraseoni,21.7647,80.0494,Madhya Pradesh,176291.0
Mauli,Mauli,30.699,76.693,Punjab,176152.0
Harnaut,Harnaut,25.3694,85.5319,Bihār,176140.0
Chittoor,Chittoor,13.216,79.098,Andhra Pradesh,175647.0
Navadwīp,Navadwip,23.42,88.37,West Bengal,175474.0
Kotdwāra,Kotdwara,29.75,78.53,Uttarākhand,175232.0
Pīlibhīt,Pilibhit,28.6267,79.8058,Uttar Pradesh,175000.0
Cuddalore,Cuddalore,11.75,79.75,Tamil Nādu,173676.0
Gondal,Gondal,21.958,70.795,Gujarāt,173353.0
Deo,Deo,24.6583,84.4378,Bihār,173216.0
Silchar,Silchar,24.82,92.8,Assam,172830.0
Chīrāla,Chirala,15.8246,80.3521,Andhra Pradesh,172826.0
Gadag,Gadag,15.4167,75.6167,Karnātaka,172813.0
Tiruvannāmalai,Tiruvannamalai,12.13,79.07,Tamil Nādu,172348.0
Bīdar,Bidar,17.912,77.52,Karnātaka,172298.0
Jalālābād,Jalalabad,30.62,74.25,Punjab,172000.0
Villupuram,Villupuram,11.9401,79.4861,Tamil Nādu,171131.0
Nawsari,Nawsari,20.95,72.93,Gujarāt,171109.0
Valsād,Valsad,20.61,72.926,Gujarāt,170060.0
Medinīpur,Medinipur,22.424,87.319,West Bengal,169264.0
Damoh,Damoh,23.8331,79.4419,Madhya Pradesh,168916.0
Harīpur,Haripur,31.53,75.92,Punjab,168443.0
Neyveli,Neyveli,11.6088,79.4994,Tamil Nādu,168368.0
Bāramūla,Baramula,34.198,74.364,Jammu and Kashmīr,167986.0
Malkāpur,Malkapur,20.885,76.2,Mahārāshtra,167740.0
Jīnd,Jind,29.3167,76.3167,Haryāna,167592.0
Chandannagar,Chandannagar,22.87,88.38,West Bengal,166867.0
Ādoni,Adoni,15.6279,77.2749,Andhra Pradesh,166344.0
Udipi,Udipi,13.3389,74.7451,Karnātaka,165401.0
Fyzābād,Fyzabad,26.773,82.146,Uttar Pradesh,165228.0
Sawāi Mādhopur,Sawai Madhopur,26.0,76.35,Rājasthān,165000.0
Tenāli,Tenali,16.239,80.645,Andhra Pradesh,164937.0
Conjeeveram,Conjeeveram,12.8185,79.6947,Tamil Nādu,164384.0
Madhubani,Madhubani,26.3519,86.0719,Bihār,164156.0
Proddatūr,Proddatur,14.75,78.55,Andhra Pradesh,163970.0
Sultānpur Mazra,Sultanpur Mazra,28.6981,77.0689,Delhi,163716.0
Godhra,Godhra,22.7772,73.6203,Gujarāt,161925.0
Multai,Multai,21.77,78.25,Madhya Pradesh,161819.0
Pangzawl,Pangzawl,22.91,92.76,Mizoram,161428.0
Prāntij,Prantij,23.4384,72.8572,Gujarāt,161279.0
Moga,Moga,30.822,75.174,Punjab,159897.0
